Gene,Ensembl,Gene description,Uniprot,Pathology prognostics - Pancreatic cancer,TAU score - Tissue
NCAPG,ENSG00000109805,Non-SMC condensin I complex subunit G,['Q9BPX3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.65e-5'}",0.77
HJURP,ENSG00000123485,Holliday junction recognition protein,['Q8NCD3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.72e-5'}",0.80
KRT7,ENSG00000135480,Keratin 7,['P08729'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.78e-5'}",0.60
PAFAH1B2,ENSG00000168092,Platelet activating factor acetylhydrolase 1b catalytic subunit 2,['P68402'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.79e-5'}",0.21
DIAPH1,ENSG00000131504,Diaphanous related formin 1,['O60610'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.81e-5'}",0.32
NAA50,ENSG00000121579,"N-alpha-acetyltransferase 50, NatE catalytic subunit",['Q9GZZ1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.92e-5'}",0.34
PTGES,ENSG00000148344,Prostaglandin E synthase,['O14684'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.97e-5'}",0.49
PEX13,ENSG00000162928,Peroxisomal biogenesis factor 13,['Q92968'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.07e-5'}",0.27
CXCL11,ENSG00000169248,C-X-C motif chemokine ligand 11,['O14625'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.18e-5'}",0.64
SIAH2,ENSG00000181788,Siah E3 ubiquitin protein ligase 2,['O43255'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.21e-5'}",0.30
KIAA1522,ENSG00000162522,KIAA1522,['Q9P206'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.25e-5'}",0.37
NCEH1,ENSG00000144959,Neutral cholesterol ester hydrolase 1,['Q6PIU2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.25e-5'}",0.37
PLEK2,ENSG00000100558,Pleckstrin 2,['Q9NYT0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.26e-5'}",0.56
SAMD9,ENSG00000205413,Sterile alpha motif domain containing 9,['Q5K651'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.31e-5'}",0.59
AREG,ENSG00000109321,Amphiregulin,['P15514'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.32e-5'}",0.58
OPA1,ENSG00000198836,OPA1 mitochondrial dynamin like GTPase,['O60313'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.44e-5'}",0.31
FLNB,ENSG00000136068,Filamin B,['O75369'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.45e-5'}",0.24
GNPNAT1,ENSG00000100522,Glucosamine-phosphate N-acetyltransferase 1,['Q96EK6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.52e-5'}",0.45
CDA,ENSG00000158825,Cytidine deaminase,['P32320'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.56e-5'}",0.62
EFNB2,ENSG00000125266,Ephrin B2,['P52799'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.70e-5'}",0.32
PGM1,ENSG00000079739,Phosphoglucomutase 1,['P36871'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.74e-5'}",0.48
FNDC3B,ENSG00000075420,Fibronectin type III domain containing 3B,['Q53EP0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.06e-5'}",0.27
NCK1,ENSG00000158092,NCK adaptor protein 1,['P16333'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.14e-5'}",0.20
STK3,ENSG00000104375,Serine/threonine kinase 3,['Q13188'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.21e-5'}",0.21
IARS2,ENSG00000067704,"Isoleucyl-tRNA synthetase 2, mitochondrial",['Q9NSE4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.24e-5'}",0.18
FOSL1,ENSG00000175592,"FOS like 1, AP-1 transcription factor subunit",['P15407'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.26e-5'}",0.54
CAST,ENSG00000153113,Calpastatin,['P20810'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.27e-5'}",0.21
OIP5,ENSG00000104147,Opa interacting protein 5,['O43482'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.34e-5'}",0.74
ETV6,ENSG00000139083,ETS variant transcription factor 6,['P41212'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.38e-5'}",0.39
MKI67,ENSG00000148773,Marker of proliferation Ki-67,['P46013'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.47e-5'}",0.79
DHX32,ENSG00000089876,DEAH-box helicase 32 (putative),['Q7L7V1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.49e-5'}",0.19
HACD2,ENSG00000206527,3-hydroxyacyl-CoA dehydratase 2,['Q6Y1H2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.59e-5'}",0.33
COX6B2,ENSG00000160471,Cytochrome c oxidase subunit 6B2,['Q6YFQ2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.70e-5'}",0.89
TNFRSF10A,ENSG00000104689,TNF receptor superfamily member 10a,['O00220'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.00e-4'}",0.45
NAB1,ENSG00000138386,NGFI-A binding protein 1,['Q13506'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.01e-4'}",0.23
NCAPH,ENSG00000121152,Non-SMC condensin I complex subunit H,['Q15003'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.02e-4'}",0.73
KRT13,ENSG00000171401,Keratin 13,['P13646'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.02e-4'}",0.73
INPP4B,ENSG00000109452,Inositol polyphosphate-4-phosphatase type II B,['O15327'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.03e-4'}",0.45
SPRR1A,ENSG00000169474,Small proline rich protein 1A,['P35321'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.03e-4'}",0.79
GMPS,ENSG00000163655,Guanine monophosphate synthase,['P49915'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.04e-4'}",0.35
ATL3,ENSG00000184743,Atlastin GTPase 3,['Q6DD88'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.04e-4'}",0.21
KCTD14,ENSG00000151364,Potassium channel tetramerization domain containing 14,['Q9BQ13'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.05e-4'}",0.49
TAX1BP1,ENSG00000106052,Tax1 binding protein 1,['Q86VP1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.06e-4'}",0.09
F3,ENSG00000117525,"Coagulation factor III, tissue factor",['P13726'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.07e-4'}",0.24
ATP11B,ENSG00000058063,ATPase phospholipid transporting 11B (putative),['Q9Y2G3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.09e-4'}",0.30
KLK8,ENSG00000129455,Kallikrein related peptidase 8,['O60259'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.10e-4'}",0.80
H1-2,ENSG00000187837,"H1.2 linker histone, cluster member",['P16403'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.12e-4'}",0.30
RNF141,ENSG00000110315,Ring finger protein 141,['Q8WVD5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.14e-4'}",0.31
MPZL2,ENSG00000149573,Myelin protein zero like 2,['O60487'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.14e-4'}",0.47
KLK7,ENSG00000169035,Kallikrein related peptidase 7,['P49862'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.16e-4'}",0.80
HMGXB4,ENSG00000100281,HMG-box containing 4,['Q9UGU5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.16e-4'}",0.36
RBM7,ENSG00000076053,RNA binding motif protein 7,['Q9Y580'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.17e-4'}",0.33
LRRC1,ENSG00000137269,Leucine rich repeat containing 1,['Q9BTT6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.18e-4'}",0.32
ERAP2,ENSG00000164308,Endoplasmic reticulum aminopeptidase 2,['Q6P179'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.20e-4'}",0.44
CAV2,ENSG00000105971,Caveolin 2,['P51636'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.21e-4'}",0.37
KIF20B,ENSG00000138182,Kinesin family member 20B,['Q96Q89'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.21e-4'}",0.62
PRKCI,ENSG00000163558,Protein kinase C iota,['P41743'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.22e-4'}",0.34
PTBP3,ENSG00000119314,Polypyrimidine tract binding protein 3,['O95758'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.22e-4'}",0.28
PRRG1,ENSG00000130962,Proline rich and Gla domain 1,['O14668'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.22e-4'}",0.57
SPC24,ENSG00000161888,SPC24 component of NDC80 kinetochore complex,['Q8NBT2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.22e-4'}",0.66
MALL,ENSG00000144063,"Mal, T cell differentiation protein like",['Q13021'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.23e-4'}",0.55
SCEL,ENSG00000136155,Sciellin,['O95171'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.24e-4'}",0.81
SFTA2,ENSG00000196260,Surfactant associated 2,['Q6UW10'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.26e-4'}",0.86
DKK1,ENSG00000107984,Dickkopf WNT signaling pathway inhibitor 1,['O94907'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.27e-4'}",0.73
ANXA3,ENSG00000138772,Annexin A3,['P12429'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.28e-4'}",0.48
GTSE1,ENSG00000075218,G2 and S-phase expressed 1,['Q9NYZ3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.29e-4'}",0.79
MOCOS,ENSG00000075643,Molybdenum cofactor sulfurase,['Q96EN8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.29e-4'}",0.67
CENPA,ENSG00000115163,Centromere protein A,['P49450'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.30e-4'}",0.83
PPP1R3B,ENSG00000173281,Protein phosphatase 1 regulatory subunit 3B,['Q86XI6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.31e-4'}",0.48
IL1RAP,ENSG00000196083,Interleukin 1 receptor accessory protein,['Q9NPH3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.31e-4'}",0.68
PLAU,ENSG00000122861,"Plasminogen activator, urokinase",['P00749'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.32e-4'}",0.45
DERA,ENSG00000023697,Deoxyribose-phosphate aldolase,['Q9Y315'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.32e-4'}",0.34
REEP3,ENSG00000165476,Receptor accessory protein 3,['Q6NUK4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.32e-4'}",0.22
CDC20,ENSG00000117399,Cell division cycle 20,['Q12834'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.32e-4'}",0.65
STIL,ENSG00000123473,STIL centriolar assembly protein,['Q15468'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.33e-4'}",0.64
ANTXR2,ENSG00000163297,ANTXR cell adhesion molecule 2,['P58335'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.33e-4'}",0.35
NRAS,ENSG00000213281,"NRAS proto-oncogene, GTPase",['P01111'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.36e-4'}",0.36
CENPF,ENSG00000117724,Centromere protein F,['P49454'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.39e-4'}",0.78
SSRP1,ENSG00000149136,Structure specific recognition protein 1,['Q08945'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.40e-4'}",0.18
ITGB5,ENSG00000082781,Integrin subunit beta 5,['P18084'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.40e-4'}",0.21
MYOF,ENSG00000138119,Myoferlin,['Q9NZM1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.40e-4'}",0.33
CCL28,ENSG00000151882,C-C motif chemokine ligand 28,['Q9NRJ3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.43e-4'}",0.74
SP1,ENSG00000185591,Sp1 transcription factor,['P08047'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.43e-4'}",0.15
IL20RB,ENSG00000174564,Interleukin 20 receptor subunit beta,['Q6UXL0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.44e-4'}",0.82
COPB2,ENSG00000184432,COPI coat complex subunit beta 2,['P35606'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.45e-4'}",0.12
CDCP1,ENSG00000163814,CUB domain containing protein 1,['Q9H5V8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.48e-4'}",0.58
TFG,ENSG00000114354,Trafficking from ER to golgi regulator,['Q92734'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.50e-4'}",0.13
NAMPT,ENSG00000105835,Nicotinamide phosphoribosyltransferase,['P43490'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.51e-4'}",0.28
TAP2,ENSG00000204267,"Transporter 2, ATP binding cassette subfamily B member",['Q03519'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.51e-4'}",0.33
KRT8,ENSG00000170421,Keratin 8,['P05787'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.51e-4'}",0.42
ATP2C1,ENSG00000017260,ATPase secretory pathway Ca2+ transporting 1,['P98194'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.52e-4'}",0.21
DCBLD2,ENSG00000057019,"Discoidin, CUB and LCCL domain containing 2",['Q96PD2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.52e-4'}",0.30
FLRT3,ENSG00000125848,Fibronectin leucine rich transmembrane protein 3,['Q9NZU0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.54e-4'}",0.53
GKN1,ENSG00000169605,Gastrokine 1,['Q9NS71'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.54e-4'}",0.93
GJB5,ENSG00000189280,Gap junction protein beta 5,['O95377'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.54e-4'}",0.79
CD9,ENSG00000010278,CD9 molecule,['P21926'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.59e-4'}",0.23
LDAF1,ENSG00000011638,Lipid droplet assembly factor 1,['Q96B96'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.59e-4'}",0.38
ATP13A3,ENSG00000133657,ATPase 13A3,['Q9H7F0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.60e-4'}",0.35
RSF1,ENSG00000048649,Remodeling and spacing factor 1,['Q96T23'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.61e-4'}",0.17
RRM2,ENSG00000171848,Ribonucleotide reductase regulatory subunit M2,['P31350'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.62e-4'}",0.71
B3GNT2,ENSG00000170340,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",['Q9NY97'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.62e-4'}",0.35
PLBD1,ENSG00000121316,Phospholipase B domain containing 1,['Q6P4A8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.66e-4'}",0.49
TMEM139,ENSG00000178826,Transmembrane protein 139,['Q8IV31'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.66e-4'}",0.62
SOWAHC,ENSG00000198142,Sosondowah ankyrin repeat domain family member C,['Q53LP3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.66e-4'}",0.44
EPSTI1,ENSG00000133106,Epithelial stromal interaction 1,['Q96J88'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.66e-4'}",0.44
RALB,ENSG00000144118,RAS like proto-oncogene B,['P11234'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.67e-4'}",0.36
LEMD1,ENSG00000186007,LEM domain containing 1,['Q68G75'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.70e-4'}",0.89
ANO1,ENSG00000131620,Anoctamin 1,['Q5XXA6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.70e-4'}",0.47
EZR,ENSG00000092820,Ezrin,['P15311'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.70e-4'}",0.25
UNC93B1,ENSG00000110057,"Unc-93 homolog B1, TLR signaling regulator",['Q9H1C4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.73e-4'}",0.45
UBAC2,ENSG00000134882,UBA domain containing 2,['Q8NBM4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.73e-4'}",0.18
ASPH,ENSG00000198363,Aspartate beta-hydroxylase,['Q12797'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.75e-4'}",0.29
POC1A,ENSG00000164087,POC1 centriolar protein A,['Q8NBT0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.76e-4'}",0.61
ACOT4,ENSG00000177465,Acyl-CoA thioesterase 4,['Q8N9L9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.77e-4'}",0.66
KRT18,ENSG00000111057,Keratin 18,['P05783'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.78e-4'}",0.32
BUB1B,ENSG00000156970,BUB1 mitotic checkpoint serine/threonine kinase B,['O60566'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.79e-4'}",0.77
AMIGO2,ENSG00000139211,Adhesion molecule with Ig like domain 2,['Q86SJ2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.80e-4'}",0.36
EPYC,ENSG00000083782,Epiphycan,['Q99645'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.85e-4'}",0.95
COL17A1,ENSG00000065618,Collagen type XVII alpha 1 chain,['Q9UMD9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.86e-4'}",0.72
SPCS3,ENSG00000129128,Signal peptidase complex subunit 3,['P61009'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.87e-4'}",0.24
TMCC1,ENSG00000172765,Transmembrane and coiled-coil domain family 1,['O94876'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.87e-4'}",0.39
TOPBP1,ENSG00000163781,DNA topoisomerase II binding protein 1,['Q92547'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.88e-4'}",0.39
ABCE1,ENSG00000164163,ATP binding cassette subfamily E member 1,['P61221'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.88e-4'}",0.15
KIF20A,ENSG00000112984,Kinesin family member 20A,['O95235'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.90e-4'}",0.75
ADAM10,ENSG00000137845,ADAM metallopeptidase domain 10,['O14672'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.90e-4'}",0.29
COLGALT1,ENSG00000130309,Collagen beta(1-O)galactosyltransferase 1,['Q8NBJ5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.92e-4'}",0.24
CCND1,ENSG00000110092,Cyclin D1,['P24385'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.96e-4'}",0.31
PTK6,ENSG00000101213,Protein tyrosine kinase 6,['Q13882'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.96e-4'}",0.75
ASF1B,ENSG00000105011,Anti-silencing function 1B histone chaperone,['Q9NVP2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.98e-4'}",0.73
PTPRK,ENSG00000152894,Protein tyrosine phosphatase receptor type K,['Q15262'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.99e-4'}",0.27
MBNL2,ENSG00000139793,Muscleblind like splicing regulator 2,['Q5VZF2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.99e-4'}",0.22
EPHX4,ENSG00000172031,Epoxide hydrolase 4,['Q8IUS5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.00e-4'}",0.81
ASCC1,ENSG00000138303,Activating signal cointegrator 1 complex subunit 1,['Q8N9N2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.00e-4'}",0.21
S100P,ENSG00000163993,S100 calcium binding protein P,['P25815'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.00e-4'}",0.67
PTPN12,ENSG00000127947,Protein tyrosine phosphatase non-receptor type 12,['Q05209'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.01e-4'}",0.17
YAP1,ENSG00000137693,Yes1 associated transcriptional regulator,['P46937'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.03e-4'}",0.21
IGSF3,ENSG00000143061,Immunoglobulin superfamily member 3,['O75054'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.03e-4'}",0.47
S100A16,ENSG00000188643,S100 calcium binding protein A16,['Q96FQ6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.04e-4'}",0.43
PATL1,ENSG00000166889,"PAT1 homolog 1, processing body mRNA decay factor",['Q86TB9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.04e-4'}",0.29
S100A2,ENSG00000196754,S100 calcium binding protein A2,['P29034'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.04e-4'}",0.69
ESRP1,ENSG00000104413,Epithelial splicing regulatory protein 1,['Q6NXG1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.05e-4'}",0.52
EIF2AK2,ENSG00000055332,Eukaryotic translation initiation factor 2 alpha kinase 2,['P19525'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.08e-4'}",0.36
CENPU,ENSG00000151725,Centromere protein U,['Q71F23'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.09e-4'}",0.72
SLC16A1,ENSG00000155380,Solute carrier family 16 member 1,['P53985'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.10e-4'}",0.34
DIAPH2,ENSG00000147202,Diaphanous related formin 2,['O60879'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.12e-4'}",0.33
BATF2,ENSG00000168062,Basic leucine zipper ATF-like transcription factor 2,['Q8N1L9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.12e-4'}",0.51
RAB27B,ENSG00000041353,"RAB27B, member RAS oncogene family",['O00194'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.13e-4'}",0.67
SLC38A5,ENSG00000017483,Solute carrier family 38 member 5,['Q8WUX1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.13e-4'}",0.66
KIF18B,ENSG00000186185,Kinesin family member 18B,['Q86Y91'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.16e-4'}",0.79
B3GNT3,ENSG00000179913,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",['Q9Y2A9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.16e-4'}",0.71
MBD4,ENSG00000129071,"Methyl-CpG binding domain 4, DNA glycosylase",['O95243'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.18e-4'}",0.27
GART,ENSG00000159131,"Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",['P22102'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.19e-4'}",0.17
MCMBP,ENSG00000197771,Minichromosome maintenance complex binding protein,['Q9BTE3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.20e-4'}",0.15
CXCL5,ENSG00000163735,C-X-C motif chemokine ligand 5,['P42830'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.23e-4'}",0.81
RAB6A,ENSG00000175582,"RAB6A, member RAS oncogene family",['P20340'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.24e-4'}",0.17
IRAK2,ENSG00000134070,Interleukin 1 receptor associated kinase 2,['O43187'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.26e-4'}",0.53
ERO1A,ENSG00000197930,Endoplasmic reticulum oxidoreductase 1 alpha,['Q96HE7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.27e-4'}",0.44
PTTG1IP,ENSG00000183255,PTTG1 interacting protein,['P53801'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.28e-4'}",0.10
PTPN14,ENSG00000152104,Protein tyrosine phosphatase non-receptor type 14,['Q15678'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.29e-4'}",0.42
SCNN1A,ENSG00000111319,Sodium channel epithelial 1 subunit alpha,['P37088'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.30e-4'}",0.49
KIF11,ENSG00000138160,Kinesin family member 11,['P52732'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.30e-4'}",0.72
GOLT1B,ENSG00000111711,Golgi transport 1B,['Q9Y3E0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.32e-4'}",0.18
